Assessment_Unit_Name,SEZ_ID,SEZ_Type
Marlette Creek - old dam site,477,Riverine (Perennial)
Tallac Creek - abv highway - 2,478,Riverine (Perennial)
Blackwood Creek - middle 1,479,Riverine (Perennial)
Homewood Canyon Creek - lower,480,Riverine (Perennial)
Blackwood Creek - Upper 1,481,Riverine (Perennial)
Tallac Creek - abv highway - 1,603,Riverine (Perennial)
Marlette Creek - upper,630,Riverine (Perennial)
Burton Creek - lower,634,Riverine (Perennial)
Incline Creek - middle 3,637,Riverine (Perennial)
Lake Forest meadows - 4,638,Riverine (Perennial)
Saxon Creek - upper,640,Riverine (Perennial)
Marlette Creek - south fork (lower),643,Riverine (Perennial)
Upper Truckee River - Tahoe Paradise,370,Riverine (Perennial)
