StationCode,STREAM_NAME,Reference/Non-Reference,SAMPLEDATE,REPLICATE,COUNTY,LATITUDE,LONGITUDE,URL,Regional_Board,CSCI
634TPA042,Cold Creek,,2009,1,El Dorado,38.90833,-119.95886,,Lahontan,1.14726
634TPA042,Cold Creek,,2011,1,El Dorado,38.90833,-119.95886,,Lahontan,1.20043
634TPA042,Cold Creek,,2013,1,El Dorado,38.90833,-119.95886,,Lahontan,1.20126
634TPA042,Cold Creek,,2015,1,El Dorado,38.90833,-119.95886,,Lahontan,1.203853296
634TPA042,Cold Creek,,2019,1,El Dorado,38.90837665,-119.9588676,,Lahontan,1.099574229
634TPA044,Third Creek,,2009,1,Washoe,39.25541,-119.94292,,Lahontan,0.888635
634TPA044,Third Creek,,2011,1,Washoe,39.25541,-119.94292,,Lahontan,1.07921
634TPA044,Third Creek,,2013,1,Washoe,39.25541,-119.94292,,Lahontan,1.01517
634TPA044,Third Creek,,2015,1,Washoe,39.25541,-119.94292,,Lahontan,1.032924815
634TPA047,Secret Harbor Creek,,2009,1,Washoe,39.13916,-119.92381,,Lahontan,0.832487
634TPA047,Secret Harbor Creek,,2011,1,Washoe,39.13916,-119.92381,,Lahontan,0.707769
634TPA047,Secret Harbor Creek,,2013,1,Washoe,39.13916,-119.92381,,Lahontan,0.641658
634TPA047,Secret Harbor Creek,,2015,1,Washoe,39.13916,-119.92381,,Lahontan,0.904562825
634TPA047,Secret Harbor Creek tributary,,2018,1,Douglas,39.139388,-119.923995,,Lahontan,0.932200864
634TPA050,Trout Creek,,2009,1,El Dorado,38.93664,-119.9919,,Lahontan,0.409092
634TPA050,Trout Creek,,2011,1,El Dorado,38.93664,-119.9919,,Lahontan,0.67904
634TPA050,Trout Creek,,2013,1,El Dorado,38.93664,-119.9919,,Lahontan,0.428565
634TPA050,Trout Creek,,2015,1,El Dorado,38.93664,-119.9919,,Lahontan,0.581788577
634TPA050,Trout Creek,,2018,1,El Dorado,38.967128,-119.99196,,Lahontan,0.55687981
634TPA052,Glenbrook Creek,,2009,1,Douglas,39.08786,-119.93505,,Lahontan,0.823177
